"iso_code","country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"HTI","Haiti","1337.9824","1381.6229","1312.3184","1246.4686","1100.0605","1211.6301","1261.6416","1294.5691","1314.1465","1345.4877","1363.8042","1355.931","1351.1061","1358.5535","1324.1139","1367.5999","1417.6296","1480.5286","1498.1997","1532.1101","1478.7362","1569.1981","1621.3715","1695.1416","1750.2029","1766.0442","1787.1594","1818.6067","1866.6176"
"HUN","Hungary","0","8312.417","8244.563","8400.852","8845.214","9177.966","9340.325","9823.814","10397.934","10873.248","11854.82","13213.445","14526.389","15464.172","16228.921","17073.55","18342.715","19045.809","20696.729","20678.068","21569.89","22894.348","23148.127","24498.18","25604.988","26668.041","27171.16","29159.127","31102.502"
"IDN","Indonesia","3001.9128","3260.807","3492.263","3745.1829","4048.527","4404.661","4764.2056","5000.9517","4331.4966","4367.432","4620.5474","4827.439","5055.356","5323.1045","5664.894","6091.9224","6534.0757","7041.487","7510.1","7813.0903","8284.501","8859.14","9444.948","10009.665","10570.195","11063.0625","11604.525","12279.184","13079.619"
"IND","India","1236.6713","1265.9175","1338.6646","1407.4738","1503.7454","1620.1754","1741.0844","1808.7084","1906.7799","2067.741","2156.69","2270.7185","2354.2651","2544.1123","2774.421","3039.1287","3331.592","3628.0012","3757.289","4026.3809","4360.154","4624.5615","4909.584","5252.2725","5682.7314","6133.887","6634.8447","7168.9927","7762.882"
"IRL","Ireland","13738.266","14393.946","15110.715","15806.035","17005.586","18937.555","20479.168","22625.576","25059.459","26995.262","30177.828","32546.092","35212.094","36237.77","38669.203","40437.773","44204.996","46759.715","44283.73","41621.72","43295.02","44855.324","46256.57","47897.293","51067.977","69056.05","70522.23","77596.35","83203.4"
"IRN","Iran, Islamic Rep.","7374.5586","8373.036","8641.606","8797.163","8722.597","8982.462","9488.518","9569.414","9758.727","9856.574","10533.524","10713.583","11528.7705","12611.466","13355.143","14045.208","15023.084","16501.975","16681.795","16791.059","17767.502","18400.906","17149.738","17202.3","18101.775","17817.637","20150.322","21011.29","0"
"IRQ","Iraq","7498.1597","2713.6965","3577.5046","4632.5166","4766.8833","4819.553","5282.533","6315.38","8349.809","9659.25","9717.658","9861.5205","9055.551","5999.131","9255.53","9738.639","10840.817","11098.132","12040.246","12287.7295","12884.904","13693.977","15320.887","16133.565","15950.196","15981.315","18085.877","17519.055","17435.854"
"ISL","Iceland","21984.387","22415.7","21876.375","22459.297","23561.592","23953.39","24784.379","26910.436","28688.229","29523.191","29710.55","31775.158","32524.023","32619.36","35608.07","37233.195","39093.953","41160.24","43318.35","41905.367","39576.973","40767.24","41926.344","44157.55","45714.895","48728.098","52582.293","55322.09","57303.062"
"ISR","Israel","15171.302","15909.493","16939.096","17580.713","18796.83","19919.467","20755.232","21415.617","22052.416","22584.94","24931.04","24918.004","25224.879","23821.545","25224.365","24831.45","25678.715","27487.844","27433.064","27501.295","28861.94","30539.963","31693.918","34145.71","34212.945","35436.812","37463.2","38866.11","39919.168"
"ITA","Italy","18608.79","19520.559","20118.295","20406.842","21286.602","22359.982","23029.5","23873.346","25020.658","25602.389","27076.188","28045.45","28736.576","29164.596","29527.791","30130.645","32419.936","34108.203","35523.27","34610.03","35155.668","36598.016","36486.297","36314.695","36194.875","36909.33","39178.4","41200.027","41830.426"
