iso_code,country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
EAP,East Asia & Pacific (excluding high income),71.89683046,71.12095798,70.31996697,69.50616382,68.67836018,67.83758241,66.98172695,66.11684287,65.2390147,64.34969547,63.43552306,62.40659073,61.2972202,60.1756303,59.04321334,57.90667936,56.79481738,55.69511803,54.59065107,53.48578909,52.37961746,51.33826176,50.32475607,49.31808947,48.31416238,47.31467525,46.31840026,45.33046512,44.36641176
EAR,Early-demographic dividend,65.06088009,64.69186192,64.33887018,63.99210851,63.64641426,63.30564729,62.97167413,62.64317411,62.31748252,61.99443933,61.66575469,61.34286543,60.98144242,60.62100405,60.25880135,59.89236548,59.52245634,59.1501382,58.77013554,58.38619974,58.00011934,57.62142912,57.24097666,56.85640907,56.4680154,56.07002123,55.67223218,55.27296468,54.8687433
EAS,East Asia & Pacific,66.04238588,65.35074728,64.65008532,63.93447521,63.19963602,62.44993507,61.69042651,60.93443943,60.16445051,59.38570991,58.57924374,57.58726481,56.50284134,55.4174812,54.32916108,53.24457382,52.19065831,51.15568892,50.11429826,49.08255904,48.05466257,47.12311841,46.2259905,45.33634986,44.44762455,43.56157904,42.67854085,41.80343612,40.94721133
ECA,Europe & Central Asia (excluding high income),36.97161583,36.82084522,36.72987901,36.66876488,36.60017088,36.51644294,36.44461053,36.3752626,36.30327048,36.22509023,36.13736602,36.01997575,35.87388802,35.69723224,35.51323588,35.32436101,35.1338768,34.93454052,34.73435739,34.54311196,34.36391959,34.20110033,34.04653843,33.89198177,33.73446211,33.57196739,33.40377367,33.23096568,33.05261949
ECS,Europe & Central Asia,32.40948836,32.27789426,32.17047547,32.0725573,31.96279152,31.84593992,31.73580036,31.62900907,31.52153205,31.40686449,31.27856175,31.12195609,30.92069742,30.71047471,30.49877484,30.28483889,30.0717485,29.85704664,29.64534482,29.44484461,29.25124118,29.0754488,28.90084842,28.72873478,28.55678284,28.37807528,28.19440552,28.00893412,27.8164895
ECU,Ecuador,44.91,44.291,43.774,43.26,42.746,42.234,41.723,41.215,40.709,40.204,39.701,39.201,38.882,38.684,38.486,38.289,38.093,37.896,37.7,37.505,37.31,37.149,37.012,36.875,36.739,36.602,36.466,36.33,36.179
EGY,"Egypt, Arab Rep.",56.522,56.655,56.788,56.921,57.054,57.186,57.319,57.342,57.296,57.25,57.203,57.157,57.111,57.065,57.019,56.973,56.927,56.922,56.942,56.961,56.981,57,57.054,57.107,57.161,57.215,57.268,57.295,57.296
EMU,Euro area,28.77997982,28.6169267,28.46799173,28.30380151,28.12142493,27.94366612,27.76772489,27.5941045,27.42248258,27.24628474,27.05783362,26.85275491,26.60922128,26.35861383,26.11312046,25.87002979,25.63216805,25.40337183,25.17685197,24.94910937,24.71830182,24.49097712,24.27630654,24.07087834,23.87186129,23.66029796,23.44569562,23.23008113,23.00826729
ERI,Eritrea,81.095,80.41,79.706,78.985,78.245,77.486,76.707,75.912,75.097,74.265,73.413,72.545,71.659,70.756,69.836,68.901,67.949,66.983,66,65.415,64.825,64.229,0,0,0,0,0,0,0
ESP,Spain,24.649,24.472,24.39,24.308,24.226,24.144,24.062,23.981,23.9,23.819,23.738,23.657,23.467,23.222,22.978,22.737,22.498,22.26,22.024,21.79,21.558,21.327,21.098,20.867,20.634,20.398,20.16,19.92,19.679
EST,Estonia,28.769,28.954,29.14,29.326,29.513,29.7,29.889,30.077,30.267,30.457,30.632,30.758,30.884,31.011,31.138,31.265,31.393,31.521,31.649,31.777,31.906,32.035,32.026,31.878,31.731,31.584,31.437,31.283,31.12
ETH,Ethiopia,87.379,87.133,86.884,86.63,86.373,86.173,85.994,85.814,85.631,85.447,85.26,85.073,84.882,84.69,84.496,84.3,84.101,83.884,83.49,83.09,82.681,82.265,81.84,81.425,81.002,80.572,80.134,79.69,79.237
EUU,European Union,29.57998868,29.41582826,29.27078226,29.1501279,29.01923662,28.88747533,28.75631219,28.62978329,28.50543506,28.37675016,28.23034958,28.05219592,27.81422101,27.58249858,27.35381258,27.12398798,26.89552283,26.66453474,26.43449352,26.21337602,25.99094045,25.77739557,25.57364103,25.37668876,25.18268368,24.97738843,24.76669255,24.55350761,24.33435153
FCS,Fragile and conflict affected situations,67.34543518,66.91814556,66.53542447,66.20242496,65.95525389,65.69440526,65.42538503,65.12685802,64.83555693,64.54001081,64.24867743,63.93530113,63.6260307,63.32769106,63.04727711,62.76490337,62.4808922,62.29149719,61.96227684,61.62544494,61.27219476,60.97067371,60.68509999,60.38438534,60.0711403,59.68342465,59.29340394,58.89877275,58.49317094
FIN,Finland,20.633,20.157,19.872,19.591,19.312,19.037,18.777,18.534,18.293,18.054,17.817,17.632,17.497,17.362,17.228,17.095,16.963,16.832,16.701,16.571,16.23,15.687,15.159,14.875,14.825,14.775,14.725,14.675,14.618
FJI,Fiji,58.389,57.619,56.844,56.067,55.287,54.504,53.718,53.268,52.877,52.485,52.092,51.7,51.308,50.915,50.521,50.129,49.736,49.343,48.854,48.342,47.829,47.317,46.804,46.294,45.784,45.274,44.765,44.258,43.752
